accX,accY,accZ
0.784,-7.059,0.471
0.941,-6.588,0.471
0.784,-6.431,0.627
1.098,-6.431,0.941
0.627,-6.431,0.784
1.255,-6.745,1.098
2.196,-6.745,1.255
2.196,-6.745,1.255
2.824,-7.216,1.569
2.98,-7.059,1.725
3.294,-7.059,1.725
3.294,-7.373,1.725
3.608,-7.216,1.569
3.922,-7.529,1.725
4.078,-7.373,1.569
3.922,-7.843,1.725
4.235,-8.157,1.569
3.922,-7.843,1.412
3.922,-7.843,1.098
3.451,-8.314,1.412
3.922,-8.471,1.255
3.765,-8.627,1.412
3.922,-9.255,1.412
3.922,-9.098,1.098
3.922,-10.039,1.569
4.078,-10.196,1.725
4.549,-10.667,2.039
4.706,-10.98,2.196
4.706,-11.451,2.196
5.176,-11.765,2.51
5.49,-12.078,2.51
5.647,-12.392,2.51
5.647,-12.392,2.353
5.176,-12.078,2.353
4.863,-11.294,2.039
4.549,-11.137,1.725
4.235,-11.451,0.941
4.392,-12.549,0.784
5.176,-16.157,0.784
5.49,-18.039,1.098
5.804,-19.451,1.882
4.235,-17.725,2.196
3.765,-16.157,1.882
2.98,-15.059,1.255
3.294,-14.118,1.098
3.451,-13.49,0.627
3.765,-13.49,0.627
3.922,-13.333,0.314
4.078,-13.49,0
4.078,-13.647,0.314
3.765,-14.588,0.314
3.922,-14.588,0.627
3.451,-14.745,0.627
3.451,-14.902,0.314
3.608,-14.745,0.471
3.608,-14.745,0.157
3.765,-14.275,0.157
3.608,-13.49,-0.314
3.137,-12.863,0
2.824,-11.608,-0.157
2.667,-10.98,0
2.196,-10.196,0.314
2.196,-9.098,0.314
1.882,-8.784,0.314
1.725,-8.157,0.157
1.569,-8,0.157
1.725,-8,0.471
1.569,-8,0.314
1.725,-7.686,0.157
1.882,-7.843,0.314
1.882,-7.843,0.471
1.882,-7.843,0.314
1.882,-7.843,0
1.725,-7.843,0.157
1.882,-8,0
1.569,-8,-0.314
2.039,-7.843,-0.627
1.725,-7.843,-0.471
1.725,-8,-0.314
1.725,-7.843,-0.627
1.569,-8,-0.627
1.725,-7.686,-0.627
1.412,-8,-0.627
1.255,-8.157,-0.471
1.098,-8.157,-0.784
0.784,-8,-0.784
0.627,-8,-0.784
1.098,-8.314,-1.098
0.941,-8.314,-1.098
0.941,-8.157,-1.098
0.941,-8.314,-1.098
1.098,-8.471,-1.255
1.255,-8.941,-1.412
